Title,Author,Rating
Sink: A Memoir,Joseph Earl Thomas,3.72 avg rating — 745 ratings
"Culture: The Story of Us, From Cave Art to K-Pop",Martin Puchner,3.91 avg rating — 174 ratings
Conquest,Nina Allan,4.27 avg rating — 30 ratings
Make You Wish You Were Dead,Jaclin Marie,3.55 avg rating — 360 ratings
"The Longest Race: Inside the Secret World of Abuse, Doping, and Deception on Nike's Elite Running Team",Kara Goucher,"4.53 avg rating — 4,424 ratings"
Thin Air,Kellie M. Parker,4.16 avg rating — 38 ratings
Bridge,Lauren Beukes,3.93 avg rating — 30 ratings
"Son of the Poison Rose (Kagen the Damned, #2)",Jonathan Maberry,4.35 avg rating — 517 ratings
Shy,Max Porter,"3.84 avg rating — 2,007 ratings"
The Nanny,Lana Ferguson,"3.66 avg rating — 13,257 ratings"
Cuddy,Benjamin Myers,4.40 avg rating — 257 ratings
The Shards,Bret Easton Ellis,"3.97 avg rating — 7,186 ratings"
Drinking from Graveyard Wells: Stories,Yvette Lisa Ndlovu,4.43 avg rating — 69 ratings
"The Diary Keepers: World War II in the Netherlands, as Written by the People Who Lived Through It",Nina Siegal,4.39 avg rating — 192 ratings
Sherlock Holmes: A Question of Time,Glenn Searfoss,it was amazing 5.00 avg rating — 3 ratings
"The Will of the Many (Hierarchy, #1)",James  Islington,"4.72 avg rating — 1,015 ratings"
A House With Good Bones,T. Kingfisher,"3.81 avg rating — 9,433 ratings"
The Best Summer of Our Lives,Rachel Hauck,4.12 avg rating — 80 ratings
Troping Through the Snow (Troping Series 1 - 6),Alexa Riley,3.79 avg rating — 121 ratings
Teen Titans: Robin,Kami Garcia,"4.12 avg rating — 2,221 ratings"
Victory City,Salman Rushdie,"3.89 avg rating — 5,113 ratings"
Bitter Medicine,Mia Tsai,3.75 avg rating — 863 ratings
The Witches of Bone Hill,Ava Morgyn,4.06 avg rating — 82 ratings
"The Love Wager (Mr. Wrong Number, #2)",Lynn Painter,"3.97 avg rating — 19,818 ratings"
Strangers in the Night,Heather  Webb,3.92 avg rating — 643 ratings
"The Perfumist of Paris (The Jaipur Trilogy, #3)",Alka Joshi,"4.22 avg rating — 9,113 ratings"
Africatown: America's Last Slave Ship and the Community It Created,Nick Tabor,4.16 avg rating — 144 ratings
"Murder at the Willows (Rina Martin, #8)",Jane A. Adams,4.46 avg rating — 704 ratings
Reef Road,Deborah Goodrich Royce,"3.62 avg rating — 1,187 ratings"
The Last Language,Jennifer duBois,4.33 avg rating — 9 ratings
"We Will Reign (Wicked Boys of BCU, #1)",Rachel  Leigh,"3.91 avg rating — 1,417 ratings"
Manifest (Muse #2),Brittany Cavallaro,3.68 avg rating — 82 ratings
The Wolf Hunt,Ayelet Gundar-Goshen,"4.03 avg rating — 1,215 ratings"
"The Davenports (The Davenports, #1)",Krystal Marquis,"3.70 avg rating — 4,553 ratings"
"The Secret Lives of Country Gentlemen (The Doomsday Books, #1)",K.J. Charles,"4.23 avg rating — 3,750 ratings"
The Minuscule Mansion of Myra Malone,Audrey Burges,"3.86 avg rating — 1,925 ratings"
This Is Where It Ends,Cindy K. Sproles,4.62 avg rating — 47 ratings
Künstlers in Paradise,Cathleen Schine,"3.56 avg rating — 1,385 ratings"
"System Collapse (The Murderbot Diaries, #7)",Martha Wells,4.58 avg rating — 301 ratings
Everything Is Just Beginning,Erin Bartels,4.23 avg rating — 271 ratings
Monkey Prince,Gene Luen Yang,3.81 avg rating — 140 ratings
Good Girls: A Story and Study of Anorexia,Hadley Freeman,4.14 avg rating — 491 ratings
"Batman/Superman: World's Finest, Vol. 1: The Devil Nezha",Mark Waid,4.11 avg rating — 499 ratings
"Between Commitment and Betrayal (Hardy Billionaire Brothers, #1)",Shain Rose,"3.87 avg rating — 10,953 ratings"
In Her Highlander's Bed,Lynsay Sands,"4.12 avg rating — 1,814 ratings"
"Sorry, Bro",Taleen Voskuni,"3.70 avg rating — 2,406 ratings"
Hungry Ghosts,Kevin Jared Hosein,3.97 avg rating — 861 ratings
The Marriage Act,John Marrs,"really liked it 4.00 avg rating — 5,054 ratings"
How I Won a Nobel Prize,Julius Taranto,4.40 avg rating — 10 ratings
"Reckless (Chestnut Springs, #4)",Elsie Silver,"4.54 avg rating — 18,333 ratings"
Saga #61,Brian K. Vaughan,4.39 avg rating — 963 ratings
"Love, Pamela",Pamela Anderson,"3.78 avg rating — 14,406 ratings"
"So Shall You Reap (Commissario Brunetti, #32)",Donna Leon,"4.16 avg rating — 3,717 ratings"
Seven Percent of Ro Devereux,Ellen O'Clover,"4.08 avg rating — 1,026 ratings"
The Bandit Queens,Parini Shroff,"3.94 avg rating — 13,365 ratings"
The Last Heir to Blackwood Library,Hester Fox,"3.43 avg rating — 3,160 ratings"
The Devil's Playground,Craig Russell,4.34 avg rating — 58 ratings
Cosmoknights Book Two,Hannah Templer,4.50 avg rating — 261 ratings
"Loathe to Love You (The STEMinist Novellas, #1-3)",Ali Hazelwood,"3.94 avg rating — 24,570 ratings"
Quantum Supremacy: How the Quantum Computer Revolution Will Change Everything,Michio Kaku,3.86 avg rating — 221 ratings
"Ana María and the Fox (The Luna Sisters, #1)",Liana De la Rosa,"3.46 avg rating — 2,653 ratings"
"So Close (Blacklist, #1)",Sylvia Day,"3.54 avg rating — 1,357 ratings"
Strange and Difficult Times: Notes on a Global Pandemic,Nanjala Nyabola,4.25 avg rating — 12 ratings
"Runaway Love (Cherry Tree Harbor, #1)",Melanie Harlow,"4.24 avg rating — 11,364 ratings"
"The Duke Gets Even (The Fifth Avenue Rebels, #4)",Joanna Shupe,"4.19 avg rating — 2,146 ratings"
Candy for My Orc Boss,Ava  Ross,"3.98 avg rating — 1,753 ratings"
With My Little Eye,Joshilyn Jackson,"3.36 avg rating — 2,533 ratings"
Death of a Bookseller,Alice   Slater,"3.69 avg rating — 2,628 ratings"
"Madame (Salacious Players Club, #6)",Sara Cate,4.50 avg rating — 26 ratings
Cursed Bread,Sophie Mackintosh,"3.36 avg rating — 2,044 ratings"
"Make a Wish (Spark House, #3)",Helena Hunting,"3.77 avg rating — 4,774 ratings"
Good for a Girl: A Woman Running in a Man's World,Lauren Fleshman,"4.54 avg rating — 5,698 ratings"
The Museum of Failures,Thrity Umrigar,4.33 avg rating — 12 ratings
Black and female,Tsitsi Dangarembga,4.17 avg rating — 219 ratings
"Nero (Alliance, #1)",S.J. Tilly,"3.97 avg rating — 6,222 ratings"
Before She Finds Me,Heather  Chavez,4.22 avg rating — 170 ratings
Secret Project #3,Brandon Sanderson,4.44 avg rating — 18 ratings
Begin Again,Emma Lord,"3.82 avg rating — 5,092 ratings"
"The Dark Hours (DCI Harry Grimm, #13)",David J. Gatward,"4.51 avg rating — 2,804 ratings"
In Limbo,Deb JJ Lee,"4.26 avg rating — 1,394 ratings"
Independence,Chitra Banerjee Divakaruni,"4.13 avg rating — 4,992 ratings"
The Reunion,Kayla Olson,"3.54 avg rating — 8,910 ratings"
"Resilient Reign (Royal Reflections, #2)",Aleatha Romig,4.49 avg rating — 456 ratings
Hockey With Benefits,Tijan,"4.12 avg rating — 6,486 ratings"
"Last Violent Call (Secret Shanghai, #3.5)",Chloe Gong,"4.37 avg rating — 4,922 ratings"
"The Cliff's Edge (Bess Crawford, #13)",Charles Todd,"4.15 avg rating — 2,262 ratings"
Looking Glass Sound,Catriona Ward,3.85 avg rating — 971 ratings
"The Bride Wore White (Burning Cove, #7)",Amanda Quick,"4.34 avg rating — 2,020 ratings"
"One Girl in All the World (In Every Generation, #2)",Kendare Blake,4.21 avg rating — 631 ratings
Wandering Souls,Cecile Pin,"4.20 avg rating — 2,774 ratings"
"The Gentleman's Gambit (A League of Extraordinary Women, #4)",Evie Dunmore,4.46 avg rating — 52 ratings
"Fake Athlete (Seeing Double Twin Sister, #1)",Cassi Hart,3.81 avg rating — 200 ratings
The Book Spy,Alan Hlad,"4.15 avg rating — 1,671 ratings"
"The 23rd Midnight (A Women's Murder Club Thriller, 23)",James Patterson,"4.47 avg rating — 11,279 ratings"
How to Think Like a Woman: Four Women Philosophers Who Taught Me How to Love the Life of the Mind,Regan Penaluna,3.99 avg rating — 336 ratings
"The Sweetheart List (Sunrise Cove, #4)",Jill Shalvis,4.41 avg rating — 817 ratings
"The Fragile Threads of Power (Threads of Power, #1)",V.E. Schwab,4.43 avg rating — 212 ratings
"Finlay Donovan Jumps the Gun (Finlay Donovan, #3)",Elle Cosimano,"3.83 avg rating — 29,005 ratings"
"The Queen’s Price (The Black Jewels, #12)",Anne Bishop,"4.44 avg rating — 1,389 ratings"
The Maid's Diary,Loreth Anne White,"4.32 avg rating — 30,054 ratings"
"The Way of the Bear (Leaphorn, Chee & Manuelito #8)",Anne Hillerman,"4.27 avg rating — 2,203 ratings"
Swamp Story,Dave Barry,"really liked it 4.00 avg rating — 1,769 ratings"
House of Slaughter #11,James Tynion IV,3.84 avg rating — 56 ratings
Cupcakes for My Orc Enemy,Honey Phillips,"4.27 avg rating — 1,521 ratings"
"Playing by the Rules (The Players, #2)",Monica  Murphy,"3.91 avg rating — 4,915 ratings"
"Faking It With the Grump (Second Chance Café, #1)",Kate O'Keeffe,3.81 avg rating — 741 ratings
"Backpacking Through Bedlam (InCryptid, #12)",Seanan McGuire,"4.32 avg rating — 1,304 ratings"
Through a Darkening Glass,R.S. Maxwell,"3.92 avg rating — 4,429 ratings"
"Fixit (IQ, #6)",Joe Ide,3.97 avg rating — 533 ratings
Little Monsters #9,Jeff Lemire,3.78 avg rating — 58 ratings
Swan Light,Phoebe Rowe,"4.27 avg rating — 4,602 ratings"
"The Late Mrs. Willoughby (Mr. Darcy & Miss Tilney, #2)",Claudia Gray,4.04 avg rating — 967 ratings
The True Love Experiment,Christina Lauren,"4.29 avg rating — 22,667 ratings"
"House of El, Vol. 3: The Treacherous Hope",Claudia Gray,3.70 avg rating — 71 ratings
Uncle of the Year: And Other Debatable Triumphs,Andrew  Rannells,4.12 avg rating — 330 ratings
The House in the Pines,Ana  Reyes,"3.17 avg rating — 62,818 ratings"
Conquer the Kingdom,Jennifer Estep,4.04 avg rating — 856 ratings
